time,open,high,low,close,volume,ticker
2020-01-02,20270,20720,20270,20720,1542690,TCH
2020-01-03,20720,21160,20720,20980,1290400,TCH
2020-01-06,20980,21110,20850,20910,729770,TCH
2020-01-07,20980,21390,20940,21230,1188090,TCH
2020-01-08,21260,21360,21190,21290,783960,TCH
2020-01-09,21290,21500,21290,21390,1291880,TCH
2020-01-10,21390,21570,21390,21570,1032370,TCH
2020-01-13,21570,21720,21570,21720,1121720,TCH
2020-01-14,21720,22820,21720,22780,779660,TCH
2020-01-15,22780,24360,22780,24280,534410,TCH
2020-01-16,24280,24780,24250,24250,655480,TCH
2020-01-17,24280,24650,24220,24650,1110320,TCH
2020-01-20,24650,24740,24650,24710,809700,TCH
2020-01-21,24710,24900,24710,24900,751430,TCH
2020-01-22,24900,25240,24900,25240,1759120,TCH
2020-01-30,25210,25300,25210,25300,767580,TCH
2020-01-31,25300,25550,25270,25550,865140,TCH
2020-02-03,25550,25580,25150,25460,549950,TCH
2020-02-04,25480,25680,25480,25650,613880,TCH
2020-02-05,25650,25990,25650,25990,729910,TCH
2020-02-06,26460,26460,25990,26460,701640,TCH
2020-02-07,26460,26790,26460,26790,844690,TCH
2020-02-10,26820,27420,26790,27420,660200,TCH
2020-02-11,27450,27910,27420,27890,673810,TCH
2020-02-12,27890,28110,27890,28080,660560,TCH
2020-02-13,28110,28260,28080,28260,626960,TCH
2020-02-14,28260,28350,27320,27550,1183840,TCH
2020-02-17,27520,27670,27450,27670,622810,TCH
2020-02-18,27670,27790,27450,27640,288440,TCH
2020-02-19,27640,27730,27550,27640,614030,TCH
2020-02-20,27640,27730,27550,27700,494490,TCH
2020-02-21,27390,27910,27350,27790,538180,TCH
2020-02-24,26790,26820,25870,25870,1132380,TCH
2020-02-25,24310,24560,24060,24120,1060480,TCH
2020-02-26,22720,24080,22630,22750,1742640,TCH
2020-02-27,21790,21820,21260,21260,1214400,TCH
2020-02-28,21260,21290,19790,19790,1035070,TCH
2020-03-02,19390,21110,19390,21110,5053330,TCH
2020-03-03,21040,21630,20720,21440,4446520,TCH
2020-03-04,21480,21500,20790,20850,1344340,TCH
2020-03-05,19730,20480,19420,20480,2239250,TCH
2020-03-06,19610,19670,19070,19460,1644630,TCH
2020-03-09,18120,18180,18120,18120,822930,TCH
2020-03-10,16860,16930,16860,16860,1272070,TCH
2020-03-11,16190,16370,15720,15720,1738790,TCH
2020-03-12,14630,14850,14630,14630,977450,TCH
2020-03-13,13630,13630,13630,13630,714270,TCH
2020-03-16,12770,14570,12770,14570,6621930,TCH
2020-03-17,13660,15560,13660,15070,750840,TCH
2020-03-18,15250,15250,14040,15070,691300,TCH
2020-03-19,14040,14040,14040,14040,212900,TCH
2020-03-20,13070,13320,13070,13070,1962400,TCH
2020-03-23,12170,12320,12170,12170,339810,TCH
2020-03-24,11330,11330,11330,11330,126240,TCH
2020-03-25,10830,11770,10560,11360,2265810,TCH
2020-03-26,11010,11430,10580,10670,540620,TCH
2020-03-27,10670,11230,10670,10950,1087580,TCH
2020-03-30,10580,10620,10210,10430,260930,TCH
2020-03-31,10360,10620,10110,10270,535790,TCH
2020-04-01,10270,10430,10110,10360,333350,TCH
2020-04-03,10360,10490,10310,10490,151630,TCH
2020-04-06,10520,11200,10520,11200,1484610,TCH
2020-04-07,11980,11980,11980,11980,589390,TCH
2020-04-08,12790,12790,11730,12790,4525680,TCH
2020-04-09,13300,13300,12770,12880,632030,TCH
2020-04-10,12260,12880,12140,12450,416590,TCH
2020-04-13,12010,12350,11610,12260,388490,TCH
2020-04-14,11980,12170,11770,11860,310550,TCH
2020-04-15,11890,12660,11890,12140,544080,TCH
2020-04-16,12230,12570,12140,12320,361730,TCH
2020-04-17,12390,13170,12290,13170,1349840,TCH
2020-04-20,13690,14070,13480,13690,782020,TCH
2020-04-21,13070,13320,12770,12770,559210,TCH
2020-04-22,12040,12640,11960,12640,512160,TCH
2020-04-23,13010,13050,12480,12880,1132730,TCH
